TEAM_ABBREVIATION,PLAYER_NAME,GP,AST,POTENTIAL_AST,AST_CONVERSION_RATE,TOTAL_pAST
WAS,Marcus Smart,34,3.2,6.0,0.533,204.0
NYK,Mikal Bridges,82,3.7,6.0,0.617,492.0
CHI,Nikola Vučević,73,3.5,6.0,0.583,438.0
MEM,Cole Anthony,67,2.9,5.9,0.492,395.3
CHI,Lonzo Ball,35,3.3,5.9,0.559,206.5
ATL,Caris LeVert,64,3.4,5.9,0.576,377.6
BKN,Trendon Watford,44,2.6,5.8,0.448,255.2
CHA,KJ Simpson,36,3.1,5.8,0.534,208.79999999999998
MIL,Kevin Porter Jr.,75,3.4,5.7,0.596,427.5
DEN,Aaron Gordon,51,3.2,5.7,0.561,290.7
MIN,Donte DiVincenzo,62,3.6,5.6,0.643,347.2
CLE,Evan Mobley,71,3.2,5.6,0.571,397.59999999999997
SAS,Devin Vassell,64,2.9,5.5,0.527,352.0
OKC,Isaiah Hartenstein,57,3.8,5.4,0.704,307.8
MEM,Luke Kennard,65,3.3,5.4,0.611,351.0
IND,Pascal Siakam,78,3.4,5.4,0.63,421.20000000000005
LAC,Bogdan Bogdanović,54,2.7,5.2,0.519,280.8
MIA,Andrew Wiggins,60,2.6,5.2,0.5,312.0
DAL,Anthony Davis,51,3.5,5.2,0.673,265.2
TOR,Jakob Poeltl,57,2.8,5.1,0.549,290.7
PHI,Quentin Grimes,75,3.0,5.1,0.588,382.5
MIA,Nikola Jović,46,2.8,5.1,0.549,234.6
CLE,Max Strus,50,3.2,5.0,0.64,250.0
DAL,Naji Marshall,69,3.0,5.0,0.6,345.0
WAS,Kyshawn George,68,2.5,5.0,0.5,340.0
POR,Shaedon Sharpe,72,2.8,5.0,0.56,360.0
POR,Dalano Banton,67,2.4,4.9,0.49,328.3
NOP,Kelly Olynyk,44,2.9,4.9,0.592,215.60000000000002
NYK,Karl-Anthony Towns,72,3.1,4.8,0.646,345.59999999999997
MIA,Terry Rozier,64,2.6,4.8,0.542,307.2
MIL,Kyle Kuzma,65,2.3,4.7,0.489,305.5
OKC,Cason Wallace,68,2.5,4.7,0.532,319.6
BKN,Keon Johnson,79,2.2,4.7,0.468,371.3
NYK,Miles McBride,64,2.9,4.6,0.63,294.4
MIN,Nickeil Alexander-Walker,82,2.7,4.6,0.587,377.2
DET,Ausar Thompson,59,2.3,4.6,0.5,271.4
CHA,Nick Smith Jr.,60,2.4,4.6,0.522,276.0
ATL,Vít Krejčí,57,2.6,4.5,0.578,256.5
GSW,Jonathan Kuminga,47,2.2,4.5,0.489,211.5
MIA,Jaime Jaquez Jr.,66,2.5,4.5,0.556,297.0
MIA,Kyle Anderson,61,2.4,4.5,0.533,274.5
LAC,Kris Dunn,74,2.8,4.5,0.622,333.0
